method,run,evaluations,hypervolume,IGD
NSGA-III,14,84,1.0789150023109162,0.10905317382292049
NSGA-III,14,112,1.0976457179378507,0.10137003556940231
NSGA-III,14,140,1.0978566175243532,0.10101982606497838
NSGA-III,14,168,1.104431482812413,0.09851184792706577
NSGA-III,14,196,1.1090957519973537,0.09430550388378989
NSGA-III,14,224,1.1122521245922001,0.08701216917697716
NSGA-III,14,252,1.1156288205729545,0.0865659162523762
NSGA-III,14,280,1.1295122207953554,0.08510115558219922
NSGA-III,15,28,1.0787231450184,0.10964981574403518
NSGA-III,15,56,1.0873411477622088,0.10880077462911848
NSGA-III,15,84,1.1206639937474872,0.10212731407621727
NSGA-III,15,112,1.1331752579129675,0.09566273906795485
NSGA-III,15,140,1.135369026533526,0.0940069038800666
NSGA-III,15,168,1.1353788423880726,0.09398892347342137
NSGA-III,15,196,1.1376312657347214,0.09182713615028625
NSGA-III,15,224,1.1385318247466312,0.09542928196288379
NSGA-III,15,252,1.1385661207693945,0.09385531380096156
NSGA-III,15,280,1.1444287118575995,0.0939972494107936
Random,1,28,1.0356975274941775,0.14102100954074706
Random,1,56,1.0752658857006863,0.1156121565575581
Random,1,84,1.0823943080658855,0.10892714454246048
Random,1,112,1.1150788564520504,0.09981340706160735
Random,1,140,1.1182944918470312,0.09513859043790122
Random,1,168,1.1182944918470312,0.09513859043790122
Random,1,196,1.1184877581078827,0.09403442176983812
Random,1,224,1.1227211210925456,0.08964581369118022
Random,1,252,1.1343915874607071,0.08308612854629907
Random,1,280,1.1345340476189896,0.08306051596933055
Random,2,28,1.130002142388182,0.10590729825722624
Random,2,56,1.132854972782781,0.10468182042756605
Random,2,84,1.152041161497947,0.10766475103928588
Random,2,112,1.152225806410929,0.10699427477677181
Random,2,140,1.15229995238023,0.10579085627604491
Random,2,168,1.154416030927248,0.10059861598179008
Random,2,196,1.1560510724329274,0.0945429438366444
Random,2,224,1.156052190520238,0.0945429438366444
Random,2,252,1.1588679784568654,0.0945429438366444
Random,2,280,1.165551289054121,0.09430786540213698
Random,3,28,1.0445800538525492,0.14440014528489056
Random,3,56,1.0844200749627928,0.12212745075475676
Random,3,84,1.092935259226174,0.1217980541326839
Random,3,112,1.1186191826098653,0.1137981155221487
Random,3,140,1.1288259972439296,0.10162242324472251
Random,3,168,1.1306807343251002,0.10150975237427715
Random,3,196,1.1502221829480324,0.09910302892701886
Random,3,224,1.1508227928180135,0.09173198423312949
Random,3,252,1.1519377275030152,0.09173198423312949
Random,3,280,1.155454823277433,0.08461824129295695
Random,4,28,1.061324090164568,0.1416755765870253
Random,4,56,1.0889567476221549,0.12325206947563287
Random,4,84,1.0920468842608548,0.11486858527627086
Random,4,112,1.1050388190786484,0.10680331145378508
Random,4,140,1.126194894414196,0.1021126015920457
Random,4,168,1.1336851764775477,0.09745518185667694
Random,4,196,1.1338103852225276,0.09695391318495537
Random,4,224,1.136088762055798,0.09695391318495537
Random,4,252,1.1422438686301422,0.09484241930970569
Random,4,280,1.1430034653377246,0.09384552762526961
Random,5,28,1.097854405231876,0.12724500163764293
Random,5,56,1.1182838247011158,0.12061392739492939
Random,5,84,1.1234043067504342,0.11306017923053768
Random,5,112,1.1280545615095399,0.10425317272320853
Random,5,140,1.1400773262573534,0.09762390754147499
Random,5,168,1.1410423529542657,0.0923302691141692
Random,5,196,1.1530044217203779,0.0920984500739993
Random,5,224,1.159000990584208,0.08632694795550812
Random,5,252,1.1676993189603995,0.11931447810609026
Random,5,280,1.1676993189603995,0.11931447810609026
Random,6,28,0.888511455791988,0.15315772471410002
Random,6,56,1.0802582824357738,0.11461533254696464
Random,6,84,1.1084790615891118,0.09773820748087692
Random,6,112,1.146021402266066,0.08367155576032391
Random,6,140,1.146021402266066,0.08367155576032391
Random,6,168,1.147053743253644,0.07449576630837325
Random,6,196,1.1475625132353369,0.0789163126944564
Random,6,224,1.1517661794834415,0.07661823754329836
Random,6,252,1.152848639507269,0.07406747278402691
Random,6,280,1.1529634429496682,0.07406747278402691
Random,7,28,1.023494725165623,0.17005462661096232
Random,7,56,1.07064900348449,0.13253815871901456
Random,7,84,1.080300223781725,0.1299350146347658
Random,7,112,1.1064719052338998,0.11850971286263777
Random,7,140,1.1076702268723384,0.11828479879944133
Random,7,168,1.1084369196882702,0.11073568107307415
