fold,variant,protocol,target,MAPE,RMSE,R2,n_eval_rows,n_heldout_cells,seconds,features
4,PINN_pred_full9,pointwise,macro_avg,7.566298466453906,1.3443659920726734,0.2650625605158462,746,45,3.675583600997925,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,PINN_phys_full9,pointwise,Q,6.101821794571595,0.19406561861227586,0.4933037692098581,746,45,6.489239454269409,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,PINN_phys_full9,pointwise,Re,9.508963719329056,2.477120647736774,-0.012686364078759782,746,45,6.489239454269409,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
4,PINN_phys_full9,pointwise,macro_avg,7.805392756950326,1.335593133174525,0.24030870256554915,746,45,6.489239454269409,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,LSTM_main_full9_teacher_forced,teacher_forced,Q,1.71832978629825,0.06750613851285556,0.9344461443492684,150,45,14.909968852996826,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,LSTM_main_full9_teacher_forced,teacher_forced,Re,0.7346419873053993,0.29048846679724355,0.9469937692726671,150,45,14.909968852996826,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,LSTM_main_full9_teacher_forced,teacher_forced,macro_avg,1.2264858868018247,0.17899730265504954,0.9407199568109678,150,45,14.909968852996826,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,LSTM_main_full9_rollout,autoregressive_rollout,Q,2.1122734610127893,0.0807273372541583,0.9062539530446235,150,45,15.205585241317749,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,LSTM_main_full9_rollout,autoregressive_rollout,Re,0.8481426093956728,0.3405744227370553,0.9271393246760428,150,45,15.205585241317749,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,LSTM_main_full9_rollout,autoregressive_rollout,macro_avg,1.480208035204231,0.2106508799956068,0.9166966388603331,150,45,15.205585241317749,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Q,3.121594948842138,0.118988905796894,0.7963311318968707,150,45,12.383733749389648,"k_exp,Re0"
5,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Re,0.5575221418964968,0.13609647049292467,0.9883650945402082,150,45,12.383733749389648,"k_exp,Re0"
5,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,macro_avg,1.8395585453693175,0.12754268814490932,0.8923481132185394,150,45,12.383733749389648,"k_exp,Re0"
5,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Q,1.9191043066815072,0.07646860281666855,0.9158841150437623,150,45,15.335270881652832,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
5,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Re,0.5064230703474458,0.13351049861374692,0.9888030440514001,150,45,15.335270881652832,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
5,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,1.2127636885144766,0.10498955071520774,0.9523435795475812,150,45,15.335270881652832,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
5,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Q,2.933387074906404,0.10598826221006,0.838405248478229,150,45,5.377909898757935,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
5,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Re,2.2487555204575145,0.6603222124768776,0.7261069909587691,150,45,5.377909898757935,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
5,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,2.5910712976819594,0.3831552373434688,0.782256119718499,150,45,5.377909898757935,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
5,PINN_pred_full9,pointwise,Q,5.492938808502385,0.17699105679714017,0.6064440535133157,756,45,4.082944869995117,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,PINN_pred_full9,pointwise,Re,9.227528189814933,2.4257853484051104,-0.028563848545648973,756,45,4.082944869995117,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,PINN_pred_full9,pointwise,macro_avg,7.360233499158658,1.3013882026011252,0.28894010248383334,756,45,4.082944869995117,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,PINN_phys_full9,pointwise,Q,5.375120370185316,0.17685254320784152,0.6070598079676601,756,45,6.178364276885986,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,PINN_phys_full9,pointwise,Re,10.653413434708334,2.5052775335631154,-0.09707976874897084,756,45,6.178364276885986,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
5,PINN_phys_full9,pointwise,macro_avg,8.014266902446824,1.3410650383854785,0.25499001960934464,756,45,6.178364276885986,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
