seed,repeat,ms_per_trajectory
82,75,12.102985800004262
82,76,12.034376100007194
82,77,12.317225799995413
82,78,12.24451839999574
82,79,12.280505499995797
82,80,12.700456400000348
82,81,12.79183289999537
82,82,12.645161300008567
82,83,12.485067900001923
82,84,12.35003049999932
82,85,12.240246400006072
82,86,12.131470599990735
82,87,12.865574900001775
82,88,12.15685909999138
82,89,15.210240099997918
82,90,12.35426449999295
82,91,12.157152099996438
82,92,12.450651500000731
82,93,12.836317899996175
82,94,12.68313840000701
82,95,12.313080299998092
82,96,12.403208899991114
82,97,12.931397900001684
82,98,12.65518449999945
82,99,12.540711999997711
82,100,12.300230700009251
