model,protocol,variant,target,MAPE,RMSE,R2,n_features,features,seconds
LSTM_main,teacher_forced,PINNfeat_no_stress,Q,2.0601062146236466,0.06880472648139267,0.9361790022124004,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",9.876408576965332
LSTM_main,teacher_forced,PINNfeat_no_stress,Re,0.411863344662464,0.13941494850447772,0.9932741735117997,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",9.876408576965332
LSTM_main,teacher_forced,PINNfeat_no_stress,macro_avg,1.2359847796430552,0.1041098374929352,0.9647265878621001,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",9.876408576965332
LSTM_main,autoregressive_rollout,PINNfeat_no_stress,Q,2.7734980748428573,0.08656272158480419,0.8989843066309772,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",10.035391092300415
LSTM_main,autoregressive_rollout,PINNfeat_no_stress,Re,0.5092204850664867,0.15594652293822886,0.9915845301993281,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",10.035391092300415
LSTM_main,autoregressive_rollout,PINNfeat_no_stress,macro_avg,1.641359279954672,0.12125462226151652,0.9452844184151526,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",10.035391092300415
PINN_pred,pointwise,Full9,Q,5.501644958285182,0.18651784992665893,0.6016294777648143,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.239415407180786
PINN_pred,pointwise,Full9,Re,12.150496738795233,2.840479972627269,0.1876557454713692,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.239415407180786
PINN_pred,pointwise,Full9,macro_avg,8.826070848540208,1.5134989112769641,0.3946426116180918,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.239415407180786
PINN_phys,pointwise,Full9,Q,6.811784823635045,0.2074798967531215,0.5070550289688663,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.4952540397644043
PINN_phys,pointwise,Full9,Re,13.357818748324659,2.9029247494166155,0.15154618613449444,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.4952540397644043
PINN_phys,pointwise,Full9,macro_avg,10.084801785979852,1.5552023230848686,0.3293006075516804,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.4952540397644043
PINN_pred,pointwise,No_Temperature,Q,6.562552228703892,0.2137900050235951,0.47661509987702755,8,"k_exp,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",2.1259140968322754
